,player_name,time,longitude,latitude,ressource_id,ressource_type,Game_ID
67,Lively Rabbit,2023-05-20 10:19:38-05:00,-74.477232,46.043035,101,Type A,1
68,Clever Lion,2023-05-20 10:19:39-05:00,-74.479119,46.044808,21,Type A,1
69,Tenacious Mongoose,2023-05-20 10:19:44-05:00,-74.479289,46.043967,86,Type A,1
70,Clever Lion,2023-05-20 10:20:12-05:00,-74.479171,46.044776,21,Type A,1
71,Graceful Raccoon,2023-05-20 10:20:20-05:00,-74.478974,46.043877,16,Type B,1
72,Cunning Giraffe,2023-05-20 10:20:26-05:00,-74.478015,46.042402,113,Type A,1
73,Tenacious Mongoose,2023-05-20 10:20:28-05:00,-74.479289,46.043967,86,Type B,1
74,Majestic Kangaroo,2023-05-20 10:20:29-05:00,-74.478102,46.043379,91,Type A,1
75,Bold Owl,2023-05-20 10:20:31-05:00,-74.476852,46.043394,102,Type A,1
76,Graceful Raccoon,2023-05-20 10:20:49-05:00,-74.478979,46.043888,16,Type A,1
77,Tenacious Mongoose,2023-05-20 10:21:01-05:00,-74.479289,46.043967,86,Type B,1
78,Cunning Giraffe,2023-05-20 10:21:05-05:00,-74.478015,46.042402,113,Type A,1
79,Daring Koala,2023-05-20 10:21:05-05:00,-74.479114,46.045314,22,Type A,1
80,Tenacious Mongoose,2023-05-20 10:21:25-05:00,-74.479275,46.043991,86,Type B,1
81,Majestic Kangaroo,2023-05-20 10:21:40-05:00,-74.478224,46.04327,92,Type A,1
82,Cunning Giraffe,2023-05-20 10:21:45-05:00,-74.478033,46.042455,113,Type A,1
83,Bold Owl,2023-05-20 10:21:58-05:00,-74.476669,46.043371,102,Type B,1
84,Cunning Giraffe,2023-05-20 10:22:27-05:00,-74.478033,46.042455,113,Type B,1
85,Tenacious Mongoose,2023-05-20 10:22:33-05:00,-74.479275,46.043991,86,Type A,1
86,Clever Lion,2023-05-20 10:22:52-05:00,-74.479171,46.044776,21,Type A,1
87,Cunning Giraffe,2023-05-20 10:23:01-05:00,-74.478033,46.042455,113,Type B,1
88,Energetic Badger,2023-05-20 10:23:11-05:00,-74.479025,46.043682,85,Type A,1
89,Wandering Antelope,2023-05-20 10:23:11-05:00,-74.478604,46.042432,72,Type B,1
90,Noble Zebra,2023-05-20 10:23:11-05:00,-74.478204,46.045936,27,Type A,1
91,Tenacious Mongoose,2023-05-20 10:23:23-05:00,-74.479275,46.043991,86,Type B,1
